truck_id,temperature,fuel,latitude,longitude,timestamp
SAIA-80333,58.8,93.9,45.08493,-101.585744,18-06-2026 00:00
HUBG-69065,14.3,94.8,42.852722,-102.276242,18-06-2026 00:00
CRST-98149,33.2,53.6,36.530398,-74.655469,18-06-2026 00:01
HUBG-83625,-11.6,25.1,39.020162,-91.498319,18-06-2026 00:01
SWFT-27745,25.1,73.9,42.34355,-80.923135,18-06-2026 00:02
SCHN-99397,15.3,66.2,31.301161,-102.341397,18-06-2026 00:02
USAT-62487,21.0,87.5,27.227641,-110.406243,18-06-2026 00:03
SWFT-51737,-7.5,85.2,28.328858,-83.461291,18-06-2026 00:03
USAT-00487,57.3,27.8,33.628044,-97.910085,18-06-2026 00:04
CRST-39083,-17.4,58.4,24.530214,-88.66526,18-06-2026 00:04
WERN-73952,49.2,43.9,45.435325,-86.903475,18-06-2026 00:05
CRST-33890,64.7,92.9,40.674973,-122.079447,18-06-2026 00:05
SCHN-00883,-14.9,40.9,33.224285,-91.577247,18-06-2026 00:06
WERN-94058,16.2,6.3,32.78811,-76.641062,18-06-2026 00:06
SCHN-68234,30.6,49.0,34.645493,-90.025784,18-06-2026 00:07
SCHN-61671,69.2,23.0,36.372107,-97.251217,18-06-2026 00:07
SAIA-36625,57.2,1.1,33.435426,-77.035866,18-06-2026 00:08
KNGT-94377,14.4,91.2,48.572613,-94.9818,18-06-2026 00:08
SWFT-48667,67.0,67.3,24.867705,-105.275998,18-06-2026 00:09
KNGT-35120,6.5,11.7,41.112052,-115.749717,18-06-2026 00:09
USAT-81275,7.3,37.9,38.776681,-106.941712,18-06-2026 00:10
WERN-69404,23.1,27.9,33.679493,-105.553991,18-06-2026 00:10
USAT-06832,49.1,81.6,24.670481,-101.927466,18-06-2026 00:11
WERN-68675,-6.7,69.7,42.301663,-107.763023,18-06-2026 00:11
SWFT-39699,45.5,11.0,24.76326,-82.596999,18-06-2026 00:12
SCHN-24211,-24.7,0.7,41.939747,-112.021552,18-06-2026 00:12
SCHN-81900,-0.1,82.0,40.383217,-83.127549,18-06-2026 00:13
WERN-39187,67.6,93.3,31.072855,-112.700223,18-06-2026 00:13
CRST-98933,37.4,96.2,28.518288,-69.13665,18-06-2026 00:14
SAIA-96754,18.9,11.9,37.49955,-94.767122,18-06-2026 00:14
SAIA-99892,44.5,39.1,31.631845,-101.692352,18-06-2026 00:15
KNGT-80280,16.3,12.2,43.9439,-101.771472,18-06-2026 00:15
USAT-62979,-14.9,93.4,29.82612,-93.606844,18-06-2026 00:16
KNGT-25730,22.3,45.2,47.661746,-84.129257,18-06-2026 00:16
WERN-31364,65.8,91.0,26.355079,-109.849018,18-06-2026 00:17
SAIA-39570,0.9,45.4,30.1355,-81.615193,18-06-2026 00:17
KNGT-26369,-20.0,9.1,36.196506,-108.959228,18-06-2026 00:18
WERN-98753,45.4,35.7,35.66541,-83.864566,18-06-2026 00:18
SAIA-16905,18.2,97.1,46.157244,-121.961282,18-06-2026 00:19
SCHN-77192,6.8,87.7,24.496349,-96.143708,18-06-2026 00:19
KNGT-93624,21.3,51.4,43.854631,-112.63954,18-06-2026 00:20
HUBG-08960,63.3,32.9,27.750277,-79.501929,18-06-2026 00:20
CRST-31327,-1.2,16.4,29.585625,-122.060687,18-06-2026 00:21
SWFT-12349,-6.0,13.8,25.724272,-97.322299,18-06-2026 00:21
KNGT-51163,25.7,15.6,40.44698,-70.259837,18-06-2026 00:22
SCHN-43385,19.0,53.2,34.312915,-94.18142,18-06-2026 00:22
KNGT-30062,-10.8,70.0,30.434238,-107.187655,18-06-2026 00:23
USAT-53744,30.2,29.6,44.944065,-77.676991,18-06-2026 00:23
HUBG-61602,29.6,98.4,47.61876,-83.302161,18-06-2026 00:24
KNGT-76276,32.5,46.7,37.186941,-124.938226,18-06-2026 00:24
HUBG-19822,14.3,59.6,44.016467,-123.246868,18-06-2026 00:25
CRST-84707,2.6,53.6,25.93454,-116.931688,18-06-2026 00:25
SWFT-19161,6.2,77.1,41.193411,-104.127439,18-06-2026 00:26
SCHN-85960,54.3,93.6,35.466139,-109.741053,18-06-2026 00:26
CRST-45381,34.4,84.7,42.41031,-121.016579,18-06-2026 00:27
SCHN-34089,12.8,51.5,27.23065,-102.559151,18-06-2026 00:27
HUBG-69390,33.3,93.8,46.99392,-119.009119,18-06-2026 00:28
USAT-65906,8.2,41.9,46.000718,-84.160152,18-06-2026 00:28
WERN-24254,57.0,7.4,33.45198,-89.960807,18-06-2026 00:29
WERN-62654,44.1,13.3,26.897697,-102.616035,18-06-2026 00:29
CRST-66781,-15.4,95.2,32.031661,-107.227317,18-06-2026 00:30
SCHN-66154,-19.7,94.0,43.88971,-110.459285,18-06-2026 00:30
HUBG-54689,-21.8,91.4,25.899762,-117.906008,18-06-2026 00:31
SAIA-78627,-22.4,75.1,36.095777,-106.579435,18-06-2026 00:31
SAIA-73465,22.2,67.9,25.612214,-120.874315,18-06-2026 00:32
KNGT-18372,-7.8,83.8,43.975467,-96.979815,18-06-2026 00:32
USAT-01554,39.1,44.5,25.161076,-69.461788,18-06-2026 00:33
SWFT-51852,20.9,54.7,40.535169,-77.712834,18-06-2026 00:33
SAIA-54460,-16.1,89.8,32.073496,-70.266597,18-06-2026 00:34
SAIA-67408,-24.4,5.7,47.10014,-109.280334,18-06-2026 00:34
CRST-84559,-21.5,56.3,31.140349,-100.781109,18-06-2026 00:35
KNGT-89368,25.7,38.1,37.106388,-82.635904,18-06-2026 00:35
HUBG-25516,30.7,55.6,38.801461,-105.640809,18-06-2026 00:36
SWFT-56540,8.5,95.7,44.696629,-117.518167,18-06-2026 00:36
KNGT-33780,-17.5,78.6,44.421951,-95.302219,18-06-2026 00:37
SCHN-43253,63.8,47.7,33.238166,-69.440696,18-06-2026 00:37
SWFT-19354,13.5,68.1,24.976749,-80.423865,18-06-2026 00:38
WERN-28333,15.8,56.3,42.742315,-107.747638,18-06-2026 00:38
SCHN-99023,11.2,19.7,44.19011,-107.8201,18-06-2026 00:39
SAIA-55797,-19.4,45.6,40.989055,-123.025609,18-06-2026 00:39
USAT-89807,42.5,11.1,32.663627,-85.337563,18-06-2026 00:40
WERN-41855,38.2,45.6,45.634464,-122.859194,18-06-2026 00:40
KNGT-95256,-9.4,43.9,48.986846,-96.389933,18-06-2026 00:41
USAT-46152,0.5,69.8,32.986524,-74.966359,18-06-2026 00:41
USAT-93466,27.0,26.9,41.388758,-88.942557,18-06-2026 00:42
KNGT-71451,10.8,39.3,41.202306,-91.19924,18-06-2026 00:42
USAT-89574,69.8,41.2,30.058105,-117.216602,18-06-2026 00:43
USAT-12266,22.2,17.2,33.165071,-119.263288,18-06-2026 00:43
SWFT-30250,58.8,73.3,44.661252,-95.214713,18-06-2026 00:44
SAIA-99479,-5.6,66.9,41.373751,-69.058929,18-06-2026 00:44
HUBG-94713,27.8,40.1,46.061885,-105.726663,18-06-2026 00:45
HUBG-51745,5.6,15.8,48.536574,-100.064282,18-06-2026 00:45
KNGT-38010,63.8,78.7,34.451654,-104.83002,18-06-2026 00:46
SAIA-37398,27.4,69.3,41.826832,-109.465632,18-06-2026 00:46
SWFT-79552,37.1,66.4,46.519196,-114.957042,18-06-2026 00:47
USAT-31945,-17.8,94.6,45.902924,-90.927942,18-06-2026 00:47
WERN-41584,21.3,80.4,36.560292,-123.041716,18-06-2026 00:48
HUBG-30545,30.0,89.9,33.311728,-97.103415,18-06-2026 00:48
SWFT-13714,2.6,76.0,46.822639,-103.794549,18-06-2026 00:49
KNGT-86972,44.9,74.5,47.307153,-114.035094,18-06-2026 00:49
KNGT-05286,19.3,75.8,46.55929,-93.034205,18-06-2026 00:50
USAT-50945,28.3,94.5,39.238568,-100.29273,18-06-2026 00:50
USAT-59146,9.3,52.5,35.327114,-123.609991,18-06-2026 00:51
HUBG-69284,39.3,41.0,42.4923,-90.67365,18-06-2026 00:51
SCHN-79300,-15.2,96.1,37.047944,-107.806667,18-06-2026 00:52
CRST-40055,23.1,96.9,33.550619,-91.690874,18-06-2026 00:52
CRST-76969,60.1,87.2,36.450991,-78.004587,18-06-2026 00:53
SAIA-98723,-2.7,57.5,38.728189,-121.211207,18-06-2026 00:53
WERN-04138,57.5,62.7,32.601013,-90.277651,18-06-2026 00:54
SAIA-50615,59.1,44.9,25.0346,-111.377608,18-06-2026 00:54
SCHN-17969,-3.1,21.1,43.04857,-100.60404,18-06-2026 00:55
HUBG-78349,-17.3,10.1,37.618275,-116.572585,18-06-2026 00:55
WERN-91162,47.6,1.2,25.253943,-78.971859,18-06-2026 00:56
USAT-13217,66.1,21.3,36.801801,-122.316869,18-06-2026 00:56
USAT-97239,-0.7,53.8,33.018214,-112.483431,18-06-2026 00:57
SCHN-38617,61.7,90.1,36.086902,-85.755173,18-06-2026 00:57
SWFT-26428,-5.2,41.5,36.409546,-85.463883,18-06-2026 00:58
SAIA-73922,9.1,64.1,48.849666,-77.147657,18-06-2026 00:58
CRST-72930,59.2,46.3,32.638997,-73.07555,18-06-2026 00:59
WERN-28286,3.9,1.4,24.986931,-111.00236,18-06-2026 00:59
KNGT-52833,46.8,42.8,38.896787,-71.080066,18-06-2026 01:00
SCHN-37517,-11.0,37.1,31.49139,-77.297553,18-06-2026 01:00
SAIA-62573,11.0,31.7,42.772005,-85.221705,18-06-2026 01:01
HUBG-01592,64.4,30.6,45.117074,-114.370662,18-06-2026 01:01
KNGT-39103,-3.5,15.2,34.97241,-82.693708,18-06-2026 01:02
SAIA-38328,41.7,58.4,42.489145,-80.009262,18-06-2026 01:02
WERN-59073,62.4,80.3,46.309425,-84.041744,18-06-2026 01:03
WERN-55692,49.6,83.3,48.602012,-112.712155,18-06-2026 01:03
HUBG-27489,65.1,26.8,40.511489,-98.222966,18-06-2026 01:04
KNGT-31955,64.7,28.7,46.828255,-88.974127,18-06-2026 01:04
USAT-45987,-14.2,28.4,28.874554,-119.106068,18-06-2026 01:05
CRST-84865,32.2,16.1,30.868574,-84.928763,18-06-2026 01:05
USAT-42628,15.6,62.4,29.149746,-121.146521,18-06-2026 01:06
SWFT-33419,39.9,14.6,40.888741,-98.016625,18-06-2026 01:06
KNGT-77636,45.5,39.8,42.04686,-92.88268,18-06-2026 01:07
WERN-73115,-1.7,54.3,47.250201,-83.429978,18-06-2026 01:07
SCHN-89693,51.0,67.7,41.156567,-67.609077,18-06-2026 01:08
HUBG-87297,13.9,96.7,25.621919,-97.382481,18-06-2026 01:08
HUBG-94356,37.4,81.7,44.878327,-99.117891,18-06-2026 01:09
WERN-49949,15.6,39.4,29.416818,-104.319494,18-06-2026 01:09
SWFT-05475,7.9,82.9,39.793544,-86.993063,18-06-2026 01:10
USAT-10633,40.9,28.1,47.322305,-79.92309,18-06-2026 01:10
KNGT-72929,26.5,67.9,41.134196,-78.10092,18-06-2026 01:11
USAT-64135,56.0,20.6,34.799548,-120.994107,18-06-2026 01:11
SWFT-68994,49.7,43.7,33.975245,-114.746848,18-06-2026 01:12
WERN-85030,57.5,61.4,24.772776,-89.57025,18-06-2026 01:12
CRST-80628,47.7,81.2,43.055877,-101.398416,18-06-2026 01:13
CRST-09524,62.1,93.1,24.784662,-85.061037,18-06-2026 01:13
CRST-81226,-10.1,98.0,46.815989,-84.909847,18-06-2026 01:14
USAT-19660,35.8,84.6,35.838778,-90.11019,18-06-2026 01:14
SCHN-56854,-17.2,19.2,24.266701,-122.696589,18-06-2026 01:15
CRST-94845,22.5,85.1,37.733592,-90.843495,18-06-2026 01:15
WERN-04228,56.8,58.6,33.28842,-83.017398,18-06-2026 01:16
USAT-97052,43.9,37.4,38.274217,-109.888743,18-06-2026 01:16
KNGT-69166,30.4,30.3,24.799574,-106.653346,18-06-2026 01:17
SAIA-41354,40.9,72.1,40.225826,-71.820167,18-06-2026 01:17
USAT-02569,-8.5,43.0,36.204195,-110.373377,18-06-2026 01:18
SCHN-21936,63.4,86.3,41.016231,-76.457261,18-06-2026 01:18
SWFT-00347,-4.8,94.6,26.746611,-118.309305,18-06-2026 01:19
CRST-09520,-9.1,89.0,48.528805,-71.613001,18-06-2026 01:19
KNGT-04511,-11.7,46.4,33.764434,-69.227366,18-06-2026 01:20
USAT-59208,63.9,88.3,40.925648,-95.952822,18-06-2026 01:20
SCHN-17561,18.8,59.9,25.930916,-113.343382,18-06-2026 01:21
SAIA-67565,25.6,18.4,37.216482,-99.370718,18-06-2026 01:21
SWFT-04492,11.0,8.8,25.15553,-83.107587,18-06-2026 01:22
CRST-71646,-22.4,4.5,36.583713,-101.918084,18-06-2026 01:22
WERN-64408,-18.7,4.1,38.917518,-117.793208,18-06-2026 01:23
SCHN-45302,-23.5,81.7,45.924909,-81.610747,18-06-2026 01:23
SAIA-57733,26.2,13.2,40.319236,-109.183097,18-06-2026 01:24
KNGT-72781,-6.6,88.7,33.462647,-111.113959,18-06-2026 01:24
KNGT-15736,13.2,29.4,44.634333,-107.936075,18-06-2026 01:25
SCHN-89552,18.7,99.3,35.204143,-88.343373,18-06-2026 01:25
WERN-30182,25.6,43.8,36.897324,-101.356301,18-06-2026 01:26
WERN-78128,59.8,15.1,31.243541,-79.972685,18-06-2026 01:26
CRST-69582,-20.9,22.8,37.164053,-94.563946,18-06-2026 01:27
HUBG-61594,22.0,21.4,41.58368,-116.574413,18-06-2026 01:27
SCHN-18421,-12.5,16.3,33.791992,-84.483371,18-06-2026 01:28
WERN-18700,63.0,79.6,26.179975,-84.505263,18-06-2026 01:28
SWFT-27211,62.2,14.3,45.536074,-71.118199,18-06-2026 01:29
USAT-43791,-11.7,48.5,42.706505,-91.212522,18-06-2026 01:29
SCHN-02513,-13.9,82.1,29.332322,-67.630468,18-06-2026 01:30
CRST-73094,-14.6,60.3,35.333741,-113.753143,18-06-2026 01:30
SWFT-76089,-15.7,75.1,42.060504,-103.94805,18-06-2026 01:31
SAIA-72258,-10.0,10.9,39.968972,-87.104301,18-06-2026 01:31
KNGT-27163,-10.2,82.8,36.785483,-120.565469,18-06-2026 01:32
SWFT-30430,-9.5,59.8,24.417721,-109.529485,18-06-2026 01:32
SAIA-63385,-10.9,0.4,47.622617,-93.300021,18-06-2026 01:33
WERN-80617,10.9,82.3,41.462254,-68.366138,18-06-2026 01:33
KNGT-41355,-0.9,65.7,44.121818,-68.759855,18-06-2026 01:34
KNGT-91955,14.6,1.6,48.740844,-103.153903,18-06-2026 01:34
SWFT-94861,59.9,78.7,31.405675,-110.073881,18-06-2026 01:35
SCHN-02628,8.4,98.7,24.700282,-84.470823,18-06-2026 01:35
KNGT-89364,2.2,65.0,25.588604,-72.062522,18-06-2026 01:36
CRST-28283,61.9,84.7,39.419884,-101.493779,18-06-2026 01:36
WERN-82936,5.6,86.0,36.880715,-86.408591,18-06-2026 01:37
SWFT-39598,-13.4,99.5,30.826936,-121.116908,18-06-2026 01:37
SCHN-04113,33.8,25.4,24.957606,-123.095041,18-06-2026 01:38
USAT-82777,1.8,47.8,46.490315,-119.402273,18-06-2026 01:38
KNGT-59955,24.4,40.0,45.422606,-97.803539,18-06-2026 01:39
SCHN-25830,48.0,70.0,32.006903,-110.303506,18-06-2026 01:39
CRST-87437,28.7,63.4,38.980369,-90.899051,18-06-2026 01:40
CRST-53169,51.8,45.4,24.71909,-95.687994,18-06-2026 01:40
WERN-27837,7.7,93.0,29.111784,-74.060526,18-06-2026 01:41
SWFT-68904,-9.0,90.3,44.447853,-89.284698,18-06-2026 01:41
SAIA-46945,12.5,13.0,32.331749,-90.87583,18-06-2026 01:42
SAIA-74366,14.1,45.4,43.755288,-102.559129,18-06-2026 01:42
CRST-58322,43.0,0.7,43.994311,-100.992842,18-06-2026 01:43
WERN-29610,40.2,58.9,26.398905,-108.490546,18-06-2026 01:43
USAT-31217,4.4,86.3,33.005378,-104.333367,18-06-2026 01:44
USAT-24412,63.3,62.5,31.893782,-76.038435,18-06-2026 01:44
SWFT-54843,1.2,32.0,31.935164,-99.398261,18-06-2026 01:45
KNGT-49098,69.7,91.8,39.375078,-112.956633,18-06-2026 01:45
SWFT-50622,-21.9,85.5,31.881141,-123.432235,18-06-2026 01:46
SCHN-03787,39.0,88.2,33.905327,-120.89601,18-06-2026 01:46
SWFT-72072,33.9,74.0,44.82856,-89.69336,18-06-2026 01:47
HUBG-07668,30.6,8.7,43.135782,-113.715967,18-06-2026 01:47
HUBG-77722,49.0,58.3,39.753327,-78.930319,18-06-2026 01:48
SWFT-94917,31.1,55.6,33.562518,-105.51016,18-06-2026 01:48
SCHN-66199,32.9,93.1,25.156489,-117.897205,18-06-2026 01:49
SWFT-73972,58.3,80.2,26.581614,-101.098208,18-06-2026 01:49
HUBG-02177,-7.3,24.5,45.408177,-107.720727,18-06-2026 01:50
SCHN-38960,25.5,75.8,33.263753,-76.657574,18-06-2026 01:50
USAT-82930,42.6,37.6,46.26042,-69.557836,18-06-2026 01:51
USAT-34101,4.2,38.0,40.490684,-124.720879,18-06-2026 01:51
HUBG-91795,-4.1,91.3,30.264782,-67.145763,18-06-2026 01:52
CRST-11757,-12.8,8.0,48.182353,-75.968838,18-06-2026 01:52
KNGT-35122,-0.0,17.0,42.301887,-109.482174,18-06-2026 01:53
KNGT-15815,38.3,41.5,46.594437,-124.402393,18-06-2026 01:53
WERN-08597,33.4,44.4,46.940975,-108.269772,18-06-2026 01:54
WERN-44413,-8.7,90.9,37.951463,-77.752183,18-06-2026 01:54
HUBG-44177,21.7,63.3,45.062769,-67.887639,18-06-2026 01:55
USAT-78455,-4.7,57.2,33.386173,-95.384764,18-06-2026 01:55
SCHN-63925,63.9,71.7,44.65144,-94.106344,18-06-2026 01:56
USAT-15781,43.8,6.6,44.694725,-107.327194,18-06-2026 01:56
SCHN-38985,-8.5,52.8,32.92981,-80.024085,18-06-2026 01:57
CRST-78294,2.5,68.6,48.161581,-71.413096,18-06-2026 01:57
SAIA-47571,56.0,85.3,35.371885,-110.832443,18-06-2026 01:58
USAT-06426,27.9,1.6,35.228376,-73.502957,18-06-2026 01:58
HUBG-19010,8.8,26.5,39.756036,-100.132524,18-06-2026 01:59
WERN-30038,31.8,21.3,48.139811,-78.867642,18-06-2026 01:59
WERN-74795,12.0,86.3,45.954753,-68.122501,18-06-2026 02:00
WERN-24709,61.6,39.4,45.762756,-106.11076,18-06-2026 02:00
CRST-91188,58.0,94.8,43.185669,-73.735463,18-06-2026 02:01
SCHN-50571,-9.8,76.2,39.35668,-91.892576,18-06-2026 02:01
HUBG-23135,39.4,86.2,36.85054,-90.503763,18-06-2026 02:02
HUBG-13325,54.6,83.8,42.61195,-68.746494,18-06-2026 02:02
HUBG-04374,-4.9,15.8,29.320234,-75.459434,18-06-2026 02:03
HUBG-57360,57.8,4.9,26.411557,-87.644633,18-06-2026 02:03
CRST-91136,14.9,58.6,25.661276,-72.446272,18-06-2026 02:04
SCHN-83740,4.2,7.2,27.534899,-97.105413,18-06-2026 02:04
KNGT-49637,68.5,57.1,43.580245,-117.324678,18-06-2026 02:05
WERN-92712,40.4,23.6,28.268618,-120.665477,18-06-2026 02:05
SAIA-22972,2.6,94.8,25.77843,-122.818941,18-06-2026 02:06
